Impact Rating,Most Visited Event,Visit Frequency,Benefits,Age,Gender
Very positive,Free kitchen,Weekly,Inspiration and Creativity,45-55,other
Positive,Other,Weekly,Inspiration and Creativity,under 18,other
Very positive,Free kitchen,Weekly,Emotional Well-being,31-44,other
Very negative,Community meetings,Weekly,Improved Social Connections,18-30,other
Positive,Debates,Weekly,Sense of Belonging to a Community,31-44,female
Positive,Debates,Weekly,Sense of Belonging to a Community,31-44,female
Neutral,Debates,Weekly,Improved Social Connections,56 and above,male
Positive,DIY Cinema,Weekly,Improved Social Connections,18-30,other
Positive,Exhibition,Weekly,Enhanced Cultural Awareness,45-55,male
Very positive,Free kitchen,Weekly,Sense of Belonging to a Community,18-30,female
Neutral,DIY Cinema,Weekly,Support for Local Artists and Initiatives,31-44,other
Positive,Queer bar,Weekly,Support for Local Artists and Initiatives,under 18,other
Very positive,Other,Weekly,Sense of Belonging to a Community,18-30,other
Very positive,DIY Cinema,Weekly,Support for Local Artists and Initiatives,under 18,male
Very positive,Queer bar,Weekly,Emotional Well-being,56 and above,female
Very positive,DIY Cinema,Weekly,Emotional Well-being,56 and above,other
Positive,Exhibition,Weekly,Support for Local Artists and Initiatives,31-44,female
Very positive,Concert,Weekly,Sense of Belonging to a Community,18-30,male
Very positive,Debates,Weekly,Emotional Well-being,31-44,female
Positive,Concert,Weekly,Sense of Belonging to a Community,under 18,male
Very positive,DIY Cinema,Weekly,Inspiration and Creativity,45-55,male
Very negative,Concert,Weekly,Support for Local Artists and Initiatives,56 and above,female
Positive,Queer bar,Weekly,Sense of Belonging to a Community,56 and above,other
Neutral,DIY Cinema,Weekly,Emotional Well-being,31-44,other
Very negative,Free kitchen,Weekly,Enhanced Cultural Awareness,18-30,other
Very positive,Other,Weekly,Improved Social Connections,56 and above,male
Very positive,Concert,Weekly,Emotional Well-being,31-44,other
Neutral,Concert,Monthly,Inspiration and Creativity,under 18,female
Very positive,Concert,Weekly,Emotional Well-being,18-30,female
Very negative,Exhibition,Weekly,Improved Social Connections,56 and above,other
Very positive,Exhibition,Weekly,Sense of Belonging to a Community,45-55,male
Very positive,Debates,Weekly,Emotional Well-being,56 and above,other
Negative,DIY Cinema,Weekly,Enhanced Cultural Awareness,45-55,male
Very negative,Free kitchen,Weekly,Inspiration and Creativity,56 and above,other
Very positive,Concert,Weekly,Emotional Well-being,under 18,female
Neutral,Exhibition,Weekly,Sense of Belonging to a Community,56 and above,other
Very positive,Swapshop,Weekly,Improved Social Connections,under 18,female
Positive,Concert,Weekly,Inspiration and Creativity,under 18,other
Very positive,Concert,Weekly,Inspiration and Creativity,18-30,other
Neutral,Concert,Weekly,Enhanced Cultural Awareness,18-30,female
Very positive,DIY Cinema,Weekly,Inspiration and Creativity,under 18,other
Positive,DIY Cinema,Weekly,Enhanced Cultural Awareness,under 18,other
Positive,Debates,Weekly,Sense of Belonging to a Community,45-55,other
Neutral,Community meetings,Weekly,Improved Social Connections,31-44,female
Very positive,Exhibition,Weekly,Emotional Well-being,31-44,female
Positive,Concert,Weekly,Improved Social Connections,under 18,female
Positive,Concert,Monthly,Enhanced Cultural Awareness,31-44,female
Very positive,Concert,Weekly,Sense of Belonging to a Community,under 18,other
Positive,Community meetings,Weekly,Emotional Well-being,45-55,female
Negative,Debates,Weekly,Improved Social Connections,under 18,female
Positive,Exhibition,Weekly,Inspiration and Creativity,56 and above,female
Very positive,Swapshop,Weekly,Improved Social Connections,31-44,female
Very negative,Queer bar,Weekly,Support for Local Artists and Initiatives,under 18,female
Very positive,Debates,Weekly,Sense of Belonging to a Community,56 and above,female
Positive,Exhibition,Monthly,Improved Social Connections,18-30,female
Very positive,Queer bar,Weekly,Emotional Well-being,18-30,female
Positive,Community meetings,Weekly,Inspiration and Creativity,56 and above,other
Neutral,DIY Cinema,Weekly,Emotional Well-being,18-30,other
Neutral,Concert,Weekly,Inspiration and Creativity,under 18,other
Negative,Other,Weekly,Enhanced Cultural Awareness,45-55,other
Very positive,Queer bar,Weekly,Enhanced Cultural Awareness,18-30,other
Very positive,DIY Cinema,Weekly,Enhanced Cultural Awareness,18-30,female
Very positive,DIY Cinema,Weekly,Emotional Well-being,under 18,other
Very positive,Other,Weekly,Enhanced Cultural Awareness,45-55,other
Positive,Exhibition,Weekly,Improved Social Connections,18-30,other
Positive,Concert,Weekly,Enhanced Cultural Awareness,45-55,male
Negative,DIY Cinema,Weekly,Enhanced Cultural Awareness,under 18,female
Positive,Exhibition,Weekly,Enhanced Cultural Awareness,under 18,female
Very positive,DIY Cinema,Weekly,Improved Social Connections,under 18,other
Very positive,DIY Cinema,Weekly,Enhanced Cultural Awareness,31-44,male
Positive,Other,Weekly,Support for Local Artists and Initiatives,45-55,female
Positive,Concert,Weekly,Support for Local Artists and Initiatives,45-55,other
Positive,Concert,Weekly,Inspiration and Creativity,56 and above,other
Very positive,Exhibition,Weekly,Enhanced Cultural Awareness,31-44,male
Positive,Concert,Weekly,Sense of Belonging to a Community,31-44,male
Positive,Concert,Weekly,Sense of Belonging to a Community,18-30,female
Neutral,DIY Cinema,Weekly,Support for Local Artists and Initiatives,56 and above,other
Positive,DIY Cinema,Weekly,Improved Social Connections,under 18,male
Negative,Queer bar,Weekly,Support for Local Artists and Initiatives,45-55,female
Very positive,Swapshop,Weekly,Inspiration and Creativity,56 and above,female
Positive,Swapshop,Weekly,Support for Local Artists and Initiatives,18-30,female
Positive,Concert,Weekly,Inspiration and Creativity,under 18,female
Very positive,Queer bar,Weekly,Support for Local Artists and Initiatives,45-55,female
Very positive,Other,Weekly,Sense of Belonging to a Community,18-30,female
Very positive,Exhibition,Weekly,Emotional Well-being,56 and above,male
Positive,Debates,Weekly,Sense of Belonging to a Community,31-44,female
Very positive,Concert,Weekly,Improved Social Connections,45-55,other
Positive,Debates,Weekly,Improved Social Connections,45-55,other
Positive,Queer bar,Weekly,Enhanced Cultural Awareness,56 and above,female
Positive,Exhibition,Weekly,Improved Social Connections,under 18,female
Positive,Debates,Weekly,Inspiration and Creativity,18-30,female
Very negative,DIY Cinema,Monthly,Sense of Belonging to a Community,under 18,male
Very positive,Queer bar,Weekly,Enhanced Cultural Awareness,under 18,female
Neutral,Queer bar,Weekly,Sense of Belonging to a Community,18-30,other
Very positive,Other,Weekly,Sense of Belonging to a Community,under 18,male
Negative,Concert,Weekly,Support for Local Artists and Initiatives,under 18,other
Positive,Concert,Monthly,Inspiration and Creativity,31-44,female
Very negative,Concert,Weekly,Support for Local Artists and Initiatives,45-55,male
Positive,Community meetings,Weekly,Inspiration and Creativity,18-30,other
Positive,Exhibition,Weekly,Support for Local Artists and Initiatives,56 and above,other
Very negative,Debates,Weekly,Emotional Well-being,31-44,other
Very positive,DIY Cinema,Weekly,Emotional Well-being,45-55,female
Very positive,Debates,Weekly,Inspiration and Creativity,31-44,other
Neutral,Concert,Weekly,Enhanced Cultural Awareness,18-30,other
Positive,Queer bar,Weekly,Improved Social Connections,45-55,male
Very positive,Exhibition,Weekly,Improved Social Connections,56 and above,male
Positive,Concert,Weekly,Emotional Well-being,under 18,male
Positive,DIY Cinema,Weekly,Emotional Well-being,31-44,male
Very positive,Concert,Weekly,Inspiration and Creativity,18-30,female
Positive,Debates,Weekly,Inspiration and Creativity,45-55,female
Positive,Debates,Weekly,Improved Social Connections,45-55,male
Positive,Exhibition,Monthly,Enhanced Cultural Awareness,45-55,female
Neutral,Exhibition,Monthly,Emotional Well-being,under 18,female
Very positive,DIY Cinema,Weekly,Emotional Well-being,45-55,other
Very positive,Exhibition,Weekly,Support for Local Artists and Initiatives,31-44,other
Very negative,Concert,Weekly,Inspiration and Creativity,56 and above,other
Positive,Concert,Weekly,Enhanced Cultural Awareness,45-55,female
Positive,DIY Cinema,Weekly,Sense of Belonging to a Community,under 18,female
Positive,DIY Cinema,Weekly,Improved Social Connections,56 and above,female
Very positive,Exhibition,Weekly,Support for Local Artists and Initiatives,31-44,female
Very negative,Debates,Weekly,Support for Local Artists and Initiatives,18-30,male
Very positive,Concert,Weekly,Support for Local Artists and Initiatives,18-30,male
Positive,Community meetings,Weekly,Sense of Belonging to a Community,18-30,male
Negative,DIY Cinema,Weekly,Inspiration and Creativity,56 and above,male
Very positive,Exhibition,Weekly,Enhanced Cultural Awareness,56 and above,male
Positive,Exhibition,Weekly,Sense of Belonging to a Community,56 and above,other
Very positive,Debates,Weekly,Inspiration and Creativity,31-44,other
Positive,Concert,Weekly,Sense of Belonging to a Community,31-44,male
Very negative,DIY Cinema,Weekly,Enhanced Cultural Awareness,45-55,other
Very positive,Exhibition,Weekly,Enhanced Cultural Awareness,56 and above,male
Very positive,Community meetings,Weekly,Inspiration and Creativity,56 and above,male
Positive,DIY Cinema,Weekly,Emotional Well-being,45-55,male
Positive,Concert,Weekly,Support for Local Artists and Initiatives,31-44,other
Very positive,Swapshop,Weekly,Support for Local Artists and Initiatives,56 and above,other
Positive,Concert,Weekly,Enhanced Cultural Awareness,18-30,female
Positive,DIY Cinema,Weekly,Inspiration and Creativity,56 and above,male
Positive,Community meetings,Weekly,Sense of Belonging to a Community,under 18,female
Positive,DIY Cinema,Monthly,Enhanced Cultural Awareness,31-44,male
Positive,Exhibition,Weekly,Enhanced Cultural Awareness,45-55,male
Neutral,Exhibition,Weekly,Improved Social Connections,31-44,other
Positive,Concert,Weekly,Sense of Belonging to a Community,under 18,male
Positive,Exhibition,Weekly,Support for Local Artists and Initiatives,56 and above,male
Very positive,DIY Cinema,Weekly,Emotional Well-being,31-44,male
Very positive,Queer bar,Monthly,Emotional Well-being,45-55,other
Very positive,DIY Cinema,Weekly,Enhanced Cultural Awareness,under 18,female
Very positive,Queer bar,Weekly,Inspiration and Creativity,31-44,female
Positive,DIY Cinema,Weekly,Enhanced Cultural Awareness,18-30,other
Neutral,Concert,Weekly,Sense of Belonging to a Community,56 and above,male
Positive,DIY Cinema,Weekly,Enhanced Cultural Awareness,45-55,female
Negative,Concert,Weekly,Support for Local Artists and Initiatives,31-44,other
Positive,Exhibition,Weekly,Inspiration and Creativity,under 18,other
Neutral,DIY Cinema,Weekly,Sense of Belonging to a Community,under 18,male
Positive,Concert,Monthly,Emotional Well-being,under 18,female
Neutral,DIY Cinema,Weekly,Sense of Belonging to a Community,under 18,female
Positive,Exhibition,Weekly,Inspiration and Creativity,31-44,male
Positive,Concert,Weekly,Support for Local Artists and Initiatives,18-30,other
Positive,Free kitchen,Weekly,Enhanced Cultural Awareness,18-30,other
Neutral,Debates,Weekly,Support for Local Artists and Initiatives,45-55,female
Negative,Exhibition,Monthly,Sense of Belonging to a Community,31-44,male
Positive,Other,Weekly,Sense of Belonging to a Community,31-44,male
Very negative,Concert,Weekly,Emotional Well-being,56 and above,female
Positive,Concert,Weekly,Emotional Well-being,31-44,other
Neutral,Community meetings,Weekly,Inspiration and Creativity,56 and above,female
Negative,Debates,Weekly,Improved Social Connections,56 and above,female
Very negative,Concert,Weekly,Enhanced Cultural Awareness,18-30,other
Very positive,Concert,Weekly,Emotional Well-being,under 18,other
Positive,Exhibition,Weekly,Enhanced Cultural Awareness,under 18,male
Positive,Queer bar,Monthly,Support for Local Artists and Initiatives,56 and above,female
Positive,Concert,Weekly,Improved Social Connections,18-30,female
Very positive,Concert,Weekly,Inspiration and Creativity,31-44,other
Neutral,Concert,Weekly,Emotional Well-being,45-55,female
Positive,DIY Cinema,Weekly,Inspiration and Creativity,31-44,male
Neutral,Concert,Weekly,Support for Local Artists and Initiatives,31-44,male
Neutral,DIY Cinema,Monthly,Support for Local Artists and Initiatives,45-55,female
Very positive,Concert,Weekly,Support for Local Artists and Initiatives,31-44,other
Positive,Concert,Weekly,Improved Social Connections,31-44,female
Positive,Community meetings,Weekly,Improved Social Connections,under 18,female
Positive,DIY Cinema,Monthly,Emotional Well-being,56 and above,female
Very positive,Debates,Weekly,Enhanced Cultural Awareness,18-30,male
Very negative,Concert,Weekly,Improved Social Connections,31-44,female
Positive,Free kitchen,Weekly,Emotional Well-being,45-55,male
Very positive,Debates,Weekly,Support for Local Artists and Initiatives,31-44,male
Very positive,DIY Cinema,Weekly,Emotional Well-being,56 and above,male
Very positive,DIY Cinema,Weekly,Support for Local Artists and Initiatives,45-55,other
Very negative,Exhibition,Weekly,Inspiration and Creativity,31-44,female
Negative,Concert,Weekly,Support for Local Artists and Initiatives,18-30,other
Positive,Debates,Weekly,Support for Local Artists and Initiatives,56 and above,male
Very positive,Concert,Weekly,Inspiration and Creativity,under 18,male
Very positive,Exhibition,Weekly,Emotional Well-being,45-55,male
Very positive,Concert,Weekly,Inspiration and Creativity,31-44,male
Positive,Exhibition,Weekly,Emotional Well-being,56 and above,female
Positive,Queer bar,Weekly,Enhanced Cultural Awareness,18-30,male
Very positive,Exhibition,Weekly,Inspiration and Creativity,56 and above,other
Neutral,Debates,Weekly,Support for Local Artists and Initiatives,31-44,female
Positive,Concert,Weekly,Emotional Well-being,under 18,male
Very positive,Concert,Weekly,Improved Social Connections,31-44,other
Positive,Concert,Weekly,Inspiration and Creativity,under 18,female
Very positive,Concert,Weekly,Emotional Well-being,18-30,male
Positive,Queer bar,Weekly,Emotional Well-being,45-55,female
Negative,Exhibition,Weekly,Enhanced Cultural Awareness,18-30,female
Very positive,Community meetings,Weekly,Sense of Belonging to a Community,31-44,female
Positive,DIY Cinema,Weekly,Improved Social Connections,31-44,other
Neutral,Concert,Weekly,Improved Social Connections,31-44,other
Very negative,Exhibition,Weekly,Improved Social Connections,18-30,other
Positive,Exhibition,Weekly,Support for Local Artists and Initiatives,31-44,female
Negative,Swapshop,Weekly,Improved Social Connections,31-44,other
Very positive,Debates,Weekly,Inspiration and Creativity,under 18,female
Very positive,Debates,Weekly,Enhanced Cultural Awareness,56 and above,male
Very positive,Queer bar,Weekly,Improved Social Connections,under 18,other
Positive,Community meetings,Weekly,Emotional Well-being,45-55,female
Very positive,Concert,Weekly,Emotional Well-being,18-30,male
Very positive,Debates,Weekly,Support for Local Artists and Initiatives,45-55,female
Positive,Free kitchen,Weekly,Inspiration and Creativity,under 18,female
Very positive,DIY Cinema,Weekly,Support for Local Artists and Initiatives,56 and above,male
Positive,Swapshop,Weekly,Improved Social Connections,45-55,female
Positive,Swapshop,Weekly,Improved Social Connections,under 18,female
Positive,Queer bar,Weekly,Emotional Well-being,45-55,female
Very positive,Queer bar,Weekly,Enhanced Cultural Awareness,under 18,female
Positive,Concert,Weekly,Support for Local Artists and Initiatives,56 and above,female
Negative,Exhibition,Weekly,Inspiration and Creativity,31-44,other
Neutral,Concert,Weekly,Sense of Belonging to a Community,under 18,female
Positive,DIY Cinema,Weekly,Inspiration and Creativity,45-55,female
Neutral,DIY Cinema,Weekly,Enhanced Cultural Awareness,31-44,male
Positive,Exhibition,Weekly,Inspiration and Creativity,18-30,male
Very positive,Concert,Weekly,Emotional Well-being,45-55,male
Positive,Free kitchen,Weekly,Improved Social Connections,31-44,other
Very positive,Exhibition,Weekly,Emotional Well-being,31-44,other
Very negative,Concert,Weekly,Sense of Belonging to a Community,18-30,male
Very positive,Queer bar,Weekly,Improved Social Connections,under 18,female
Very positive,Exhibition,Weekly,Emotional Well-being,under 18,other
Very positive,Free kitchen,Weekly,Sense of Belonging to a Community,under 18,male
Positive,Debates,Weekly,Inspiration and Creativity,56 and above,male
Very positive,Swapshop,Weekly,Improved Social Connections,45-55,female
Very positive,Concert,Monthly,Inspiration and Creativity,31-44,male
Very positive,Swapshop,Weekly,Enhanced Cultural Awareness,56 and above,other
Positive,Debates,Weekly,Improved Social Connections,45-55,other
Positive,Debates,Weekly,Improved Social Connections,18-30,female
Positive,Concert,Weekly,Inspiration and Creativity,31-44,male
Very negative,Community meetings,Weekly,Inspiration and Creativity,56 and above,female
Very positive,Free kitchen,Weekly,Support for Local Artists and Initiatives,18-30,other
Very negative,DIY Cinema,Weekly,Sense of Belonging to a Community,31-44,other
Neutral,Exhibition,Weekly,Enhanced Cultural Awareness,18-30,female
Very positive,Concert,Weekly,Inspiration and Creativity,31-44,female
Very positive,DIY Cinema,Weekly,Support for Local Artists and Initiatives,56 and above,female
Neutral,Debates,Weekly,Enhanced Cultural Awareness,31-44,male
Very negative,Swapshop,Weekly,Emotional Well-being,under 18,male
Very positive,Debates,Weekly,Emotional Well-being,45-55,female
Positive,Concert,Weekly,Inspiration and Creativity,56 and above,female
Very positive,Concert,Weekly,Sense of Belonging to a Community,31-44,female
Neutral,DIY Cinema,Weekly,Inspiration and Creativity,under 18,male
Very positive,Queer bar,Weekly,Inspiration and Creativity,under 18,female
